
 seq 3013476:3013696, ack 1765, win 501, length 220
17:51:35.477660 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3015896:3016116, ack 1765, win 501, length 220
17:51:35.477752 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3016116:3016336, ack 1765, win 501, length 220
17:51:35.477845 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3016336:3016556, ack 1765, win 501, length 220
17:51:35.477939 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3016556:3016776, ack 1765, win 501, length 220
17:51:35.492096 IP cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3016776, win 1026, length 0
17:51:35.492232 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3016776:3016996, ack 1765, win 501, length 220
17:51:35.492467 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3016996:3017384, ack 1765, win 501, length 388
17:51:35.492573 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3017384:3017604, ack 1765, win 501, length 220
17:51:35.492679 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3017604:3017824, ack 1765, win 501, length 220
17:51:35.492777 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3017824:3018044, ack 1765, win 501, length 220
17:51:35.492870 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3018044:3018264, ack 1765, win 501, length 220
17:51:35.492965 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3018264:3018484, ack 1765, win 501, length 220
17:51:35.493058 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3018484:3018704, ack 1765, win 501, length 220
17:51:35.493153 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3018704:3018924, ack 1765, win 501, length 220
17:51:35.493248 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3018924:3019144, ack 1765, win 501, length 220
17:51:35.493341 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3019144:3019364, ack 1765, win 501, length 220
17:51:35.493432 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3019364:3019584, ack 1765, win 501, length 220
17:51:35.493531 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3019584:3019804, ack 1765, win 501, length 220
17:51:35.493626 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3019804:3020024, ack 1765, win 501, length 220
17:51:35.493719 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3020024:3020244, ack 1765, win 501, length 220
17:51:35.493821 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3020244:3020464, ack 1765, win 501, length 220
17:51:35.493920 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3020464:3020684, ack 1765, win 501, length 220
17:51:35.494011 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3020684:3020904, ack 1765, win 501, length 220
17:51:35.494104 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3020904:3021124, ack 1765, win 501, length 220
17:51:35.494196 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3021124:3021344, ack 1765, win 501, length 220
17:51:35.494290 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3021344:3021564, ack 1765, win 501, length 220
17:51:35.494395 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3021564:3021784, ack 1765, win 501, length 220
17:51:35.494487 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3021784:3022004, ack 1765, win 501, length 220
17:51:35.494580 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3022004:3022224, ack 1765, win 501, length 220
17:51:35.494674 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3022224:3022444, ack 1765, win 501, length 220
17:51:35.494766 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3022444:3022664, ack 1765, win 501, length 220
17:51:35.494857 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3022664:3022884, ack 1765, win 501, length 220
17:51:35.494952 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3022884:3023104, ack 1765, win 501, length 220
17:51:35.495043 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3023104:3023324, ack 1765, win 501, length 220
17:51:35.495149 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3023324:3023544, ack 1765, win 501, length 220
17:51:35.495244 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3023544:3023764, ack 1765, win 501, length 220
17:51:35.495344 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3023764:3023984, ack 1765, win 501, length 220
17:51:35.495445 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3023984:3024204, ack 1765, win 501, length 220
17:51:35.495536 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3024204:3024424, ack 1765, win 501, length 220
17:51:35.495634 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3024424:3024644, ack 1765, win 501, length 220
17:51:35.495724 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3024644:3024864, ack 1765, win 501, length 220
17:51:35.495813 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3024864:3025084, ack 1765, win 501, length 220
17:51:35.495906 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3025084:3025304, ack 1765, win 501, length 220
17:51:35.496022 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3025304:3025524, ack 1765, win 501, length 220
17:51:35.496115 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3025524:3025744, ack 1765, win 501, length 220
17:51:35.496210 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3025744:3025964, ack 1765, win 501, length 220
17:51:35.496302 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3025964:3026184, ack 1765, win 501, length 220
17:51:35.496394 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3026184:3026404, ack 1765, win 501, length 220
17:51:35.496487 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3026404:3026624, ack 1765, win 501, length 220
17:51:35.496581 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3026624:3026844, ack 1765, win 501, length 220
17:51:35.496689 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3026844:3027064, ack 1765, win 501, length 220
17:51:35.496781 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3027064:3027284, ack 1765, win 501, length 220
17:51:35.496872 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3027284:3027504, ack 1765, win 501, length 220
17:51:35.496967 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3027504:3027724, ack 1765, win 501, length 220
17:51:35.497062 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3027724:3027944, ack 1765, win 501, length 220
17:51:35.497153 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3027944:3028164, ack 1765, win 501, length 220
17:51:35.497253 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3028164:3028384, ack 1765, win 501, length 220
17:51:35.497345 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3028384:3028604, ack 1765, win 501, length 220
17:51:35.497440 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3028604:3028824, ack 1765, win 501, length 220
17:51:35.497533 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3028824:3029044, ack 1765, win 501, length 220
17:51:35.497624 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3029044:3029264, ack 1765, win 501, length 220
17:51:35.497715 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3029264:3029484, ack 1765, win 501, length 220
17:51:35.497812 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3029484:3029704, ack 1765, win 501, length 220
17:51:35.497904 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3029704:3029924, ack 1765, win 501, length 220
17:51:35.498001 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3029924:3030144, ack 1765, win 501, length 220
17:51:35.498093 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3030144:3030364, ack 1765, win 501, length 220
17:51:35.498186 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3030364:3030584, ack 1765, win 501, length 220
17:51:35.498279 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3030584:3030804, ack 1765, win 501, length 220
17:51:35.498374 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3030804:3031024, ack 1765, win 501, length 220
17:51:35.498475 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3031024:3031244, ack 1765, win 501, length 220
17:51:35.498575 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3031244:3031464, ack 1765, win 501, length 220
17:51:35.498667 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3031464:3031684, ack 1765, win 501, length 220
17:51:35.498760 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3031684:3031904, ack 1765, win 501, length 220
17:51:35.498853 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3031904:3032124, ack 1765, win 501, length 220
17:51:35.498942 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3032124:3032344, ack 1765, win 501, length 220
17:51:35.499034 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3032344:3032564, ack 1765, win 501, length 220
17:51:35.499158 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3032564:3032784, ack 1765, win 501, length 220
17:51:35.499211 IP cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1765:1801, ack 3013916, win 1021, length 36
17:51:35.499330 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3032784:3033188, ack 1801, win 501, length 404
17:51:35.499433 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3033188:3033408, ack 1801, win 501, length 220
17:51:35.499535 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3033408:3033628, ack 1801, win 501, length 220
17:51:35.499628 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3033628:3033848, ack 1801, win 501, length 220
17:51:35.499721 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3033848:3034068, ack 1801, win 501, length 220
17:51:35.499815 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3034068:3034288, ack 1801, win 501, length 220
17:51:35.499907 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3034288:3034508, ack 1801, win 501, length 220
17:51:35.514381 IP cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3034508, win 1026, length 0
17:51:35.514381 IP cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1801:1837, ack 3017384, win 1024, length 36
17:51:35.514526 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3034508:3034728, ack 1801, win 501, length 220
