
17:49:37.415440 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14630832:14630996, ack 7921, win 501, length 164
17:49:37.416675 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14634276:14634440, ack 7921, win 501, length 164
17:49:37.416755 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14634440:14634604, ack 7921, win 501, length 164
17:49:37.416849 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14634604:14634768, ack 7921, win 501, length 164
17:49:37.416942 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14634768:14634932, ack 7921, win 501, length 164
17:49:37.417026 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14634932:14635096, ack 7921, win 501, length 164
17:49:37.417126 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14635096:14635260, ack 7921, win 501, length 164
17:49:37.417216 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14635260:14635424, ack 7921, win 501, length 164
17:49:37.417277 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14635424:14635588, ack 7921, win 501, length 164
17:49:37.417334 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14635588:14635752, ack 7921, win 501, length 164
17:49:37.417400 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14635752:14635916, ack 7921, win 501, length 164
17:49:37.417464 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14635916:14636080, ack 7921, win 501, length 164
17:49:37.417519 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14636080:14636244, ack 7921, win 501, length 164
17:49:37.417572 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14636244:14636408, ack 7921, win 501, length 164
17:49:37.417624 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14636408:14636572, ack 7921, win 501, length 164
17:49:37.417677 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14636572:14636736, ack 7921, win 501, length 164
17:49:37.417733 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14636736:14636900, ack 7921, win 501, length 164
17:49:37.417786 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14636900:14637064, ack 7921, win 501, length 164
17:49:37.417838 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14637064:14637228, ack 7921, win 501, length 164
17:49:37.417894 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14637228:14637392, ack 7921, win 501, length 164
17:49:37.417967 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14637392:14637556, ack 7921, win 501, length 164
17:49:37.418041 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14637556:14637720, ack 7921, win 501, length 164
17:49:37.418100 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14637720:14637884, ack 7921, win 501, length 164
17:49:37.418153 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14637884:14638048, ack 7921, win 501, length 164
17:49:37.418206 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14638048:14638212, ack 7921, win 501, length 164
17:49:37.418261 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14638212:14638376, ack 7921, win 501, length 164
17:49:37.418317 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14638376:14638540, ack 7921, win 501, length 164
17:49:37.418405 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14638540:14638704, ack 7921, win 501, length 164
17:49:37.438681 IP 99.247.177.75.61067 > 134.122.33.1.22: Flags [.], ack 14638704, win 1026, length 0
17:49:37.438793 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14638704:14638868, ack 7921, win 501, length 164
17:49:37.438983 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14638868:14639136, ack 7921, win 501, length 268
17:49:37.439073 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14639136:14639300, ack 7921, win 501, length 164
17:49:37.439140 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14639300:14639464, ack 7921, win 501, length 164
17:49:37.439200 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14639464:14639628, ack 7921, win 501, length 164
17:49:37.439257 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14639628:14639792, ack 7921, win 501, length 164
17:49:37.439324 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14639792:14639956, ack 7921, win 501, length 164
17:49:37.439380 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14639956:14640120, ack 7921, win 501, length 164
17:49:37.439444 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14640120:14640284, ack 7921, win 501, length 164
17:49:37.439542 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14640284:14640448, ack 7921, win 501, length 164
17:49:37.439610 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14640448:14640612, ack 7921, win 501, length 164
17:49:37.439668 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14640612:14640776, ack 7921, win 501, length 164
17:49:37.439724 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14640776:14640940, ack 7921, win 501, length 164
17:49:37.439781 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14640940:14641104, ack 7921, win 501, length 164
17:49:37.439834 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14641104:14641268, ack 7921, win 501, length 164
17:49:37.439887 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14641268:14641432, ack 7921, win 501, length 164
17:49:37.439943 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14641432:14641596, ack 7921, win 501, length 164
17:49:37.440013 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14641596:14641760, ack 7921, win 501, length 164
17:49:37.440071 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14641760:14641924, ack 7921, win 501, length 164
17:49:37.440128 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14641924:14642088, ack 7921, win 501, length 164
17:49:37.440182 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14642088:14642252, ack 7921, win 501, length 164
17:49:37.440234 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14642252:14642416, ack 7921, win 501, length 164
17:49:37.440288 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14642416:14642580, ack 7921, win 501, length 164
17:49:37.440344 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14642580:14642744, ack 7921, win 501, length 164
17:49:37.440398 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14642744:14642908, ack 7921, win 501, length 164
17:49:37.440451 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14642908:14643072, ack 7921, win 501, length 164
17:49:37.440511 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14643072:14643236, ack 7921, win 501, length 164
17:49:37.440603 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14643236:14643400, ack 7921, win 501, length 164
17:49:37.440675 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14643400:14643564, ack 7921, win 501, length 164
17:49:37.440736 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14643564:14643728, ack 7921, win 501, length 164
17:49:37.440790 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14643728:14643892, ack 7921, win 501, length 164
17:49:37.440844 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14643892:14644056, ack 7921, win 501, length 164
17:49:37.440902 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14644056:14644220, ack 7921, win 501, length 164
17:49:37.440956 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14644220:14644384, ack 7921, win 501, length 164
17:49:37.441009 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14644384:14644548, ack 7921, win 501, length 164
17:49:37.441064 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14644548:14644712, ack 7921, win 501, length 164
17:49:37.441136 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14644712:14644876, ack 7921, win 501, length 164
17:49:37.441195 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14644876:14645040, ack 7921, win 501, length 164
17:49:37.441251 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14645040:14645204, ack 7921, win 501, length 164
17:49:37.441304 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14645204:14645368, ack 7921, win 501, length 164
17:49:37.441357 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14645368:14645532, ack 7921, win 501, length 164
17:49:37.441409 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14645532:14645696, ack 7921, win 501, length 164
17:49:37.441463 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14645696:14645860, ack 7921, win 501, length 164
17:49:37.441515 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14645860:14646024, ack 7921, win 501, length 164
17:49:37.441568 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14646024:14646188, ack 7921, win 501, length 164
17:49:37.441621 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14646188:14646352, ack 7921, win 501, length 164
17:49:37.441677 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14646352:14646516, ack 7921, win 501, length 164
17:49:37.441729 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14646516:14646680, ack 7921, win 501, length 164
17:49:37.441782 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14646680:14646844, ack 7921, win 501, length 164
17:49:37.441838 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14646844:14647008, ack 7921, win 501, length 164
17:49:37.441890 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647008:14647172, ack 7921, win 501, length 164
17:49:37.441944 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647172:14647336, ack 7921, win 501, length 164
17:49:37.441996 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647336:14647500, ack 7921, win 501, length 164
17:49:37.442048 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647500:14647664, ack 7921, win 501, length 164
17:49:37.442116 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647664:14647828, ack 7921, win 501, length 164
17:49:37.442214 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647828:14647992, ack 7921, win 501, length 164
17:49:37.442278 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14647992:14648156, ack 7921, win 501, length 164
17:49:37.442336 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14648156:14648320, ack 7921, win 501, length 164
17:49:37.442390 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14648320:14648484, ack 7921, win 501, length 164
17:49:37.442447 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14648484:14648648, ack 7921, win 501, length 164
17:49:37.442502 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14648648:14648812, ack 7921, win 501, length 164
17:49:37.442556 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14648812:14648976, ack 7921, win 501, length 164
17:49:37.442608 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14648976:14649140, ack 7921, win 501, length 164
17:49:37.442662 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14649140:14649304, ack 7921, win 501, length 164
17:49:37.442718 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14649304:14649468, ack 7921, win 501, length 164
17:49:37.442773 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14649468:14649632, ack 7921, win 501, length 164
17:49:37.442830 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14649632:14649796, ack 7921, win 501, length 164
17:49:37.442883 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14649796:14649960, ack 7921, win 501, length 164
17:49:37.442935 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14649960:14650124, ack 7921, win 501, length 164
17:49:37.442988 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14650124:14650288, ack 7921, win 501, length 164
17:49:37.443041 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14650288:14650452, ack 7921, win 501, length 164
17:49:37.443108 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14650452:14650616, ack 7921, win 501, length 164
17:49:37.443171 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14650616:14650780, ack 7921, win 501, length 164
17:49:37.443224 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14650780:14650944, ack 7921, win 501, length 164
17:49:37.443278 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14650944:14651108, ack 7921, win 501, length 164
17:49:37.443329 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14651108:14651272, ack 7921, win 501, length 164
17:49:37.443384 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14651272:14651436, ack 7921, win 501, length 164
17:49:37.443436 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14651436:14651600, ack 7921, win 501, length 164
17:49:37.455394 IP 99.247.177.75.61067 > 134.122.33.1.22: Flags [P.], seq 7921:7957, ack 14638704, win 1026, length 36
.
